year,stateabbr,statename,cityname,obesitypercentage,Population2010,latitude,longitude
2014,IA,Iowa,Sioux City,,6,42.56,-96.33537366
2014,IA,Iowa,Sioux City,41.1,3554,42.50,-96.39643276
2014,IA,Iowa,Sioux City,32.5,3104,42.47,-96.33993677
2014,IA,Iowa,Sioux City,34.5,520,42.46,-96.31596021
2014,IA,Iowa,Sioux City,31.8,6505,42.55,-96.37084362
2014,IA,Iowa,Sioux City,32.4,5416,42.47,-96.36538761
2014,IA,Iowa,Sioux City,39.8,4493,42.52,-96.3558986
2014,IA,Iowa,Sioux City,37.4,4038,42.51,-96.42930423
2014,IA,Iowa,Sioux City,41.9,1670,42.51,-96.40580151
2014,IA,Iowa,Sioux City,37.6,2712,42.52,-96.48155779
2014,KS,Kansas,Kansas City,30.2,3839,39.17,-94.82051507
2014,KS,Kansas,Kansas City,40.2,2464,39.11,-94.67111525
2014,KS,Kansas,Kansas City,38.1,3879,39.06,-94.63702715
2014,KS,Kansas,Kansas City,41.9,1719,39.11,-94.71140473
2014,KS,Kansas,Kansas City,35.5,2931,39.11,-94.76982207
2014,KS,Kansas,Kansas City,37.3,3337,39.07,-94.65876757
2014,KS,Kansas,Kansas City,45.3,1292,39.14,-94.62542386
2014,KS,Kansas,Kansas City,40.1,2155,39.13,-94.72001474
2014,KS,Kansas,Kansas City,47.3,2690,39.13,-94.6640132
2014,KS,Kansas,Kansas City,51.8,738,39.14,-94.65899821
2014,KS,Kansas,Kansas City,39.4,2801,39.11,-94.64137598
2014,KS,Kansas,Kansas City,,8,39.09,-94.68284726
2014,KS,Kansas,Kansas City,33.2,3881,39.14,-94.77333825
2014,KS,Kansas,Kansas City,38.2,145786,39.12,-94.74419211
2014,KS,Kansas,Kansas City,40.4,1150,39.11,-94.75104487
2014,KS,Kansas,Kansas City,33.8,6580,39.05,-94.69535888
2014,KS,Kansas,Kansas City,52.4,978,39.12,-94.62580483
2014,KS,Kansas,Kansas City,44,61,39.09,-94.6184317
2014,KS,Kansas,Kansas City,37.4,2152,39.06,-94.61867798
2014,KS,Kansas,Kansas City,37.3,82,39.08,-94.61348133
2014,KS,Kansas,Kansas City,41.5,4115,39.12,-94.65517469
2014,KS,Kansas,Kansas City,32.6,2830,39.12,-94.77409414
2014,KS,Kansas,Kansas City,46.4,1947,39.10,-94.63133279
2014,KS,Kansas,Kansas City,29.1,1842,39.12,-94.8331167
2014,KS,Kansas,Kansas City,51.9,1336,39.13,-94.61963495
2014,KS,Kansas,Kansas City,33.6,3509,39.10,-94.7634784
2014,KS,Kansas,Kansas City,34.1,2696,39.07,-94.70530372
2014,KS,Kansas,Kansas City,36.8,1870,39.14,-94.71986316
2014,KS,Kansas,Kansas City,41.3,1898,39.14,-94.68095126
2014,KS,Kansas,Kansas City,34.5,2729,39.16,-94.75466068
2014,KS,Kansas,Kansas City,41.1,2692,39.10,-94.62908951
2014,KS,Kansas,Kansas City,50.3,1209,39.12,-94.62702419
2014,KS,Kansas,Kansas City,36.9,2826,39.08,-94.77520636
2014,KS,Kansas,Kansas City,41,2640,39.12,-94.74926613
2014,KS,Kansas,Kansas City,35.7,3882,39.05,-94.63089427
2014,KS,Kansas,Kansas City,32,1581,39.12,-94.80046733
2014,KS,Kansas,Kansas City,,5,39.09,-94.65085873
2014,KS,Kansas,Kansas City,37.7,2522,39.11,-94.6425527
2014,KS,Kansas,Kansas City,31.6,3980,39.05,-94.61215973
2014,KS,Kansas,Kansas City,38.1,2153,39.15,-94.68376147
2014,KS,Kansas,Kansas City,31.3,1335,39.06,-94.74057697
2014,KS,Kansas,Kansas City,35.5,2300,39.15,-94.72074897
2014,KS,Kansas,Kansas City,42.4,1703,39.11,-94.63106317
2014,KS,Kansas,Kansas City,46.9,1351,39.14,-94.64472401
2014,KS,Kansas,Kansas City,,3,39.10,-94.61134474
2014,KS,Kansas,Kansas City,41.5,3618,39.10,-94.64245908
2014,KS,Kansas,Kansas City,43.1,2966,39.12,-94.72186113
2014,KS,Kansas,Kansas City,52.4,542,39.13,-94.63086474
2014,KS,Kansas,Kansas City,35.8,2134,39.05,-94.65726268
2014,KS,Kansas,Kansas City,41.9,602,39.07,-94.75086111
2014,KS,Kansas,Kansas City,38,2858,39.08,-94.63587706
2014,KS,Kansas,Kansas City,44.5,4710,39.12,-94.66624156
2014,KS,Kansas,Kansas City,29.4,4958,39.16,-94.87437759
2014,KS,Kansas,Kansas City,47.7,1534,39.12,-94.64203403
2014,KS,Kansas,Kansas City,38.1,145786,39.12,-94.74419211
2014,KS,Kansas,Kansas City,40.4,1937,39.10,-94.65802482
2014,KS,Kansas,Kansas City,32.2,2240,39.07,-94.68809184
2014,KS,Kansas,Kansas City,32.6,1584,39.05,-94.67296439
2014,KS,Kansas,Kansas City,37.7,2959,39.14,-94.69635491
2014,KS,Kansas,Kansas City,48.9,1766,39.13,-94.64363451
2014,KS,Kansas,Kansas City,41.3,3413,39.07,-94.67391239
2014,KS,Kansas,Kansas City,37.5,1845,39.11,-94.62314747
2014,KS,Kansas,Kansas City,41,3053,39.12,-94.69185297
2014,KS,Kansas,Kansas City,34.8,3489,39.14,-94.74550846
2014,MO,Missouri,Kansas City,34.7,459787,39.12,-94.55412368
2014,MO,Missouri,Kansas City,43.1,4413,38.99,-94.56646479
2014,MO,Missouri,Kansas City,35.8,2291,38.96,-94.47614722
2014,MO,Missouri,Kansas City,,38,39.24,-94.70446579
2014,MO,Missouri,Kansas City,44.7,2223,39.02,-94.57013779
2014,MO,Missouri,Kansas City,51.3,1676,39.04,-94.56319963
2014,MO,Missouri,Kansas City,31.4,2714,39.26,-94.58859255
2014,MO,Missouri,Kansas City,46.6,3040,39.08,-94.52470532
2014,MO,Missouri,Kansas City,38.8,3523,39.04,-94.45736605
2014,MO,Missouri,Kansas City,45.1,2450,39.06,-94.5046303
2014,MO,Missouri,Kansas City,46,3681,39.02,-94.54638309
2014,MO,Missouri,Kansas City,35.3,2080,38.95,-94.57037223
2014,MO,Missouri,Kansas City,44.1,75,39.13,-94.59248826
2014,MO,Missouri,Kansas City,28.2,5009,39.26,-94.70025028
2014,MO,Missouri,Kansas City,33.8,3492,39.19,-94.50554699
2014,MO,Missouri,Kansas City,29,5592,38.91,-94.57932264
2014,MO,Missouri,Kansas City,,5,39.08,-94.48376018
2014,MO,Missouri,Kansas City,34.8,2028,39.01,-94.50561889
2014,MO,Missouri,Kansas City,48.2,2139,38.99,-94.54523555
2014,MO,Missouri,Kansas City,35.2,4098,39.16,-94.51493638
2014,MO,Missouri,Kansas City,29.7,5890,39.23,-94.48393015
2014,MO,Missouri,Kansas City,33,5092,39.21,-94.59363192
2014,MO,Missouri,Kansas City,44.3,3002,38.91,-94.50124591
2014,MO,Missouri,Kansas City,,46,38.90,-94.47493126
2014,MO,Missouri,Kansas City,47.3,1556,39.07,-94.54841836
2014,MO,Missouri,Kansas City,28.1,95,38.86,-94.45619192
2014,MO,Missouri,Kansas City,43.7,3856,39.05,-94.52564948
2014,MO,Missouri,Kansas City,35.8,4389,38.98,-94.58548736
2014,MO,Missouri,Kansas City,42.5,2159,39.09,-94.53271333
2014,MO,Missouri,Kansas City,32,5004,39.17,-94.56842146
2014,MO,Missouri,Kansas City,32.1,4924,39.00,-94.43349999
2014,MO,Missouri,Kansas City,43.1,2966,39.10,-94.54431243
2014,MO,Missouri,Kansas City,24.1,3383,39.01,-94.60061014
2014,MO,Missouri,Kansas City,25.1,1213,39.05,-94.59092762
2014,MO,Missouri,Kansas City,38.6,4646,38.94,-94.48846783
2014,MO,Missouri,Kansas City,25.4,875,39.08,-94.58701248
2014,MO,Missouri,Kansas City,33,2239,38.95,-94.44515167
2014,MO,Missouri,Kansas City,32.8,2634,39.03,-94.56875943
2014,MO,Missouri,Kansas City,30.8,3330,38.96,-94.58846584
2014,MO,Missouri,Kansas City,33.5,3368,39.06,-94.59035103
2014,MO,Missouri,Kansas City,37.5,4094,39.11,-94.52330857
2014,MO,Missouri,Kansas City,46.5,1155,39.08,-94.56634722
2014,MO,Missouri,Kansas City,30.8,5138,39.00,-94.40761056
2014,MO,Missouri,Kansas City,49.5,2542,39.05,-94.54915073
2014,MO,Missouri,Kansas City,47.3,2933,39.02,-94.56129961
2014,MO,Missouri,Kansas City,25.9,3384,38.93,-94.60108021
2014,MO,Missouri,Kansas City,29.6,355,39.32,-94.55598833
2014,MO,Missouri,Kansas City,34.5,2168,39.08,-94.57537978
2014,MO,Missouri,Kansas City,30,7499,39.23,-94.66952952
2014,MO,Missouri,Kansas City,25.1,1886,39.10,-94.58341512
2014,MO,Missouri,Kansas City,26.1,2316,38.98,-94.60136406
2014,MO,Missouri,Kansas City,40.2,3149,39.08,-94.59813515
2014,MO,Missouri,Kansas City,31.8,6134,39.23,-94.59082866
2014,MO,Missouri,Kansas City,32.1,3215,39.03,-94.45892919
2014,MO,Missouri,Kansas City,51,1457,39.06,-94.54878761
2014,MO,Missouri,Kansas City,24.2,2751,39.02,-94.60018874
2014,MO,Missouri,Kansas City,27.1,3856,39.26,-94.48238859
2014,MO,Missouri,Kansas City,27.4,2220,39.22,-94.65195745
2014,MO,Missouri,Kansas City,,8,39.00,-94.52123366
2014,MO,Missouri,Kansas City,39.3,2685,38.92,-94.48816611
2014,MO,Missouri,Kansas City,49.5,1192,39.07,-94.56690266
2014,MO,Missouri,Kansas City,37.5,4591,38.98,-94.51107816
2014,MO,Missouri,Kansas City,32.8,2369,39.21,-94.51109395
2014,MO,Missouri,Kansas City,31.5,3047,39.20,-94.64334453
2014,MO,Missouri,Kansas City,46,3602,39.00,-94.54681942
2014,MO,Missouri,Kansas City,41.8,1368,39.06,-94.56728038
2014,MO,Missouri,Kansas City,,11,39.30,-94.72580195
2014,MO,Missouri,Kansas City,30.4,3072,39.29,-94.5326211
2014,MO,Missouri,Kansas City,41.2,3346,39.10,-94.52532232
2014,MO,Missouri,Kansas City,30.9,1795,39.05,-94.58281216
2014,MO,Missouri,Kansas City,47.5,2205,39.03,-94.5595394
2014,MO,Missouri,Kansas City,29.3,2187,38.97,-94.60174611
2014,MO,Missouri,Kansas City,40.8,4674,39.11,-94.51392318
2014,MO,Missouri,Kansas City,48.8,1771,39.08,-94.55715948
2014,MO,Missouri,Kansas City,48.6,3826,39.10,-94.56176503
2014,MO,Missouri,Kansas City,40.6,1473,38.97,-94.57607734
2014,MO,Missouri,Kansas City,37.6,3596,38.96,-94.49444624
2014,MO,Missouri,Kansas City,28.2,3285,39.17,-94.58929522
2014,MO,Missouri,Kansas City,28.7,1727,39.10,-94.59658135
2014,MO,Missouri,Kansas City,28.6,7118,39.23,-94.53207065
2014,MO,Missouri,Kansas City,36.7,2089,38.87,-94.57422405
2014,MO,Missouri,Kansas City,,32,38.98,-94.38801432
2014,MO,Missouri,Kansas City,43.1,4932,38.94,-94.52200726
2014,MO,Missouri,Kansas City,36.4,1393,39.11,-94.57122328
2014,MO,Missouri,Kansas City,26,2795,38.99,-94.60121489
2014,MO,Missouri,Kansas City,29.3,3556,39.05,-94.59676968
2014,MO,Missouri,Kansas City,30.6,1720,39.26,-94.64437939
2014,MO,Missouri,Kansas City,25.7,1735,39.05,-94.57972289
2014,MO,Missouri,Kansas City,32.2,5182,39.19,-94.5673795
2014,MO,Missouri,Kansas City,29,5658,39.19,-94.53146478
2014,MO,Missouri,Kansas City,49,1689,39.07,-94.54805827
2014,MO,Missouri,Kansas City,39.2,4912,39.03,-94.49038073
2014,MO,Missouri,Kansas City,45.9,2187,39.06,-94.53939947
2014,MO,Missouri,Kansas City,50.3,1624,39.03,-94.54879573
2014,MO,Missouri,Kansas City,26.7,3281,38.93,-94.58308621
2014,MO,Missouri,Kansas City,27,1485,39.09,-94.58021699
2014,MO,Missouri,Kansas City,40.7,1784,38.95,-94.54937632
2014,MO,Missouri,Kansas City,38.2,3052,39.11,-94.54239298
2014,MO,Missouri,Kansas City,26.2,72,38.88,-94.47329768
2014,MO,Missouri,Kansas City,41.8,2336,39.10,-94.50002332
2014,MO,Missouri,Kansas City,23.9,1892,39.03,-94.60020182
2014,MO,Missouri,Kansas City,24.8,2275,39.02,-94.58810983
2014,MO,Missouri,Kansas City,28.1,6606,39.28,-94.49035434
2014,MO,Missouri,Kansas City,29.6,1817,39.29,-94.63971183
2014,MO,Missouri,Kansas City,27.9,311,38.96,-94.43953989
2014,MO,Missouri,Kansas City,34.3,1651,39.06,-94.57897092
2014,MO,Missouri,Kansas City,45.5,2046,39.09,-94.56039486
2014,MO,Missouri,Kansas City,39.1,1408,39.13,-94.50808349
2014,MO,Missouri,Kansas City,50.9,903,39.07,-94.55764963
2014,MO,Missouri,Kansas City,25.9,1696,38.95,-94.60242787
2014,MO,Missouri,Kansas City,22.7,2998,39.04,-94.59134964
2014,MO,Missouri,Kansas City,45.5,2501,39.01,-94.56573915
2014,MO,Missouri,Kansas City,42.7,3218,39.11,-94.55574501
2014,MO,Missouri,Kansas City,29.2,7447,39.30,-94.57696716
2014,MO,Missouri,Kansas City,,22,39.03,-94.38790473
2014,MO,Missouri,Kansas City,39.8,2889,38.92,-94.51810138
2014,MO,Missouri,Kansas City,29.8,428,39.19,-94.64217991
2014,MO,Missouri,Kansas City,48.9,1719,38.97,-94.5540175
2014,MO,Missouri,Kansas City,48.5,1931,39.08,-94.53869393
2014,MO,Missouri,Kansas City,28.1,5979,39.29,-94.46265988
2014,MO,Missouri,Kansas City,34.6,459787,39.12,-94.55412368
2014,MO,Missouri,Kansas City,31.7,2465,39.18,-94.55221786
2014,MO,Missouri,Kansas City,29.4,6689,39.24,-94.61667272
2014,MO,Missouri,Kansas City,,28,39.24,-94.73903311
2014,MO,Missouri,Kansas City,32.2,2899,39.25,-94.64456566
2014,MO,Missouri,Kansas City,47.8,2367,39.05,-94.56304912
2014,MO,Missouri,Kansas City,25.4,2765,39.02,-94.57881016
2014,MO,Missouri,Kansas City,47.9,1844,39.06,-94.52562353
2014,MO,Missouri,Kansas City,31.6,3823,39.16,-94.45058386
2014,MO,Missouri,Kansas City,50.6,1008,39.08,-94.54769408
2014,MO,Missouri,Kansas City,38.2,2708,38.96,-94.5232242
2014,MO,Missouri,Kansas City,36,1683,39.10,-94.574268
2014,MO,Missouri,Kansas City,28.5,3690,38.99,-94.58487331
2014,MO,Missouri,Kansas City,31.7,4706,39.17,-94.51405146
2014,MO,Missouri,Kansas City,,5,39.01,-94.38756913
2014,MO,Missouri,Kansas City,31.1,1640,39.05,-94.57584254
2014,MO,Missouri,Kansas City,45.1,2191,39.02,-94.53217526
2014,MO,Missouri,Kansas City,36.3,3978,39.11,-94.53244707
2014,MO,Missouri,Kansas City,30.5,4251,38.93,-94.55009649
2014,MO,Missouri,Kansas City,43.8,4280,39.09,-94.50149169
2014,MO,Missouri,Kansas City,25.7,2576,38.90,-94.60091022
2014,MO,Missouri,Kansas City,28.1,181,38.85,-94.46306571
2014,MO,Missouri,Kansas City,39.2,2325,39.06,-94.47558326
2014,MO,Missouri,Kansas City,44.8,3145,38.98,-94.56849895
2014,MO,Missouri,Kansas City,28.9,6511,39.26,-94.54280478
2014,MO,Missouri,Kansas City,34.7,5471,39.16,-94.54611052
2014,MO,Missouri,Kansas City,32.5,4475,38.92,-94.5471669
2014,MO,Missouri,Kansas City,46.1,1840,39.09,-94.54485034
2014,MO,Missouri,Kansas City,30.7,1709,39.10,-94.59160898
2014,MO,Missouri,Kansas City,30.6,7735,39.21,-94.61951815
2014,MO,Missouri,Kansas City,25.2,2847,39.05,-94.6017861
2014,MO,Missouri,Kansas City,23.7,3538,39.03,-94.58205193
2014,MO,Missouri,Kansas City,,10,39.04,-94.4009629
2014,MO,Missouri,Kansas City,29.8,377,39.33,-94.6675672
2014,MO,Missouri,Kansas City,32,3516,38.95,-94.58932826
